"study","auc","error_rate","accuracy","kappa","mtry","group","seed"
"validation",0.686868686868687,0.345527626099045,0.7,0.368421052631579,455,"species",951
"validation",0.727272727272727,0.350476797205972,0.65,0.25531914893617,41,"species",952
"validation",0.651515151515151,0.344788530463373,0.55,0.0425531914893617,25,"species",953
"validation",0.671717171717172,0.350119245607484,0.55,0.0217391304347826,17,"species",954
"validation",0.782828282828283,0.335915954120956,0.65,0.239130434782609,155,"species",955
"validation",0.666666666666667,0.362219091315721,0.7,0.354838709677419,38,"species",956
"validation",0.797979797979798,0.36727528879139,0.75,0.479166666666667,16,"species",957
"validation",0.727272727272727,0.338584162301064,0.65,0.285714285714286,318,"species",958
"validation",0.671717171717172,0.345141113613836,0.5,-0.0752688172043011,501,"species",959
"validation",0.797979797979798,0.327860080349242,0.6,0.139784946236559,31,"species",960
"validation",0.787878787878788,0.339766960323387,0.6,0.139784946236559,311,"species",961
"validation",0.626262626262626,0.361685531612688,0.65,0.285714285714286,52,"species",962
"validation",0.752525252525252,0.368475738892016,0.6,0.120879120879121,12,"species",963
"validation",0.505050505050505,0.368475834434193,0.5,-0.0526315789473685,44,"species",964
"validation",0.666666666666667,0.360329662546946,0.6,0.139784946236559,47,"species",965
"validation",0.747474747474747,0.330117040430377,0.6,0.139784946236559,52,"species",966
"validation",0.742424242424242,0.348901447695579,0.55,0.0625000000000001,329,"species",967
"validation",0.813131313131313,0.354213770497305,0.65,0.285714285714286,17,"species",968
"validation",0.767676767676768,0.363050353618415,0.65,0.3,42,"species",969
"validation",0.808080808080808,0.352488836277976,0.75,0.489795918367347,51,"species",970
"validation",0.737373737373737,0.340927676757248,0.75,0.479166666666667,45,"species",971
"validation",0.666666666666667,0.357936674001607,0.55,0.0217391304347826,21,"species",972
"validation",0.818181818181818,0.333272820466114,0.6,0.120879120879121,272,"species",973
"validation",0.808080808080808,0.346720051531677,0.65,0.270833333333333,93,"species",974
"validation",0.535353535353535,0.327381942426871,0.6,0.157894736842105,52,"species",975
"validation",0.727272727272727,0.330681623169826,0.6,0.157894736842105,70,"species",976
"validation",0.737373737373737,0.34647492072369,0.7,0.354838709677419,207,"species",977
"validation",0.707070707070707,0.365686108565765,0.6,0.120879120879121,40,"species",978
"validation",0.626262626262626,0.355202457331194,0.6,0.139784946236559,107,"species",979
"validation",0.727272727272727,0.371650420296761,0.75,0.5,20,"species",980
"validation",0.813131313131313,0.329867200364391,0.85,0.6875,347,"species",981
"validation",0.747474747474748,0.342660164636727,0.75,0.468085106382979,81,"species",982
"validation",0.702020202020202,0.337161903247566,0.6,0.139784946236559,65,"species",983
"validation",0.818181818181818,0.354290786552133,0.7,0.368421052631579,195,"species",984
"validation",0.616161616161616,0.420721994052434,0.6,0.139784946236559,11,"species",985
"validation",0.727272727272727,0.353931037436165,0.65,0.25531914893617,334,"species",986
"validation",0.777777777777778,0.372501216770797,0.7,0.354838709677419,25,"species",987
"validation",0.752525252525252,0.358675313256645,0.65,0.270833333333333,15,"species",988
"validation",0.636363636363636,0.355275006843663,0.6,0.139784946236559,47,"species",989
"validation",0.671717171717172,0.319903384683184,0.55,0.0217391304347826,407,"species",990
"validation",0.878787878787879,0.345036071920757,0.65,0.25531914893617,50,"species",991
"validation",0.782828282828283,0.342768975763187,0.7,0.368421052631579,223,"species",992
"validation",0.606060606060606,0.374721434712838,0.7,0.368421052631579,20,"species",993
"validation",0.787878787878788,0.340671065199153,0.7,0.354838709677419,27,"species",994
"validation",0.656565656565657,0.43903268085826,0.55,0,7,"species",995
"validation",0.696969696969697,0.351968126221219,0.6,0.120879120879121,20,"species",996
"validation",0.686868686868687,0.339250830749401,0.65,0.25531914893617,339,"species",997
"validation",0.717171717171717,0.336625375141209,0.65,0.239130434782609,372,"species",998
"validation",0.797979797979798,0.341610836531748,0.65,0.25531914893617,29,"species",999
"validation",0.727272727272727,0.332015861539371,0.6,0.139784946236559,150,"species",1000
"validation",0.656565656565657,0.361931306098979,0.55,0.0425531914893617,18,"species",1001
"validation",0.555555555555556,0.365940432106325,0.55,0,10,"species",1002
"validation",0.757575757575758,0.344189164375015,0.55,0.0217391304347826,24,"species",1003
"validation",0.757575757575757,0.312936765945718,0.5,-0.0989010989010987,50,"species",1004
"validation",0.858585858585859,0.377170500224574,0.7,0.354838709677419,16,"species",1005
"validation",0.707070707070707,0.339282864200868,0.65,0.25531914893617,58,"species",1006
"validation",0.646464646464646,0.338843206068788,0.5,-0.0752688172043011,35,"species",1007
"validation",0.757575757575758,0.366547696658847,0.55,0,17,"species",1008
"validation",0.535353535353535,0.363783477142787,0.55,0.0217391304347826,41,"species",1009
"validation",0.54040404040404,0.428156075911174,0.55,0,6,"species",1010
"validation",0.797979797979798,0.333749240815464,0.65,0.25531914893617,110,"species",1011
"validation",0.878787878787879,0.320562065081008,0.7,0.381443298969072,53,"species",1012
"validation",0.717171717171717,0.361410146602978,0.6,0.139784946236559,17,"species",1013
