"study","auc","error_rate","accuracy","kappa","mtry","group","seed"
"validation",0.702020202020202,0.209193399879514,0.65,0.239130434782609,17,"species",951
"validation",0.808080808080808,0.143693981156727,0.6,0.139784946236559,459,"species",952
"validation",0.656565656565657,0.155490343645401,0.65,0.239130434782609,25,"species",953
"validation",0.707070707070707,0.146639436763667,0.6,0.175257731958763,44,"species",954
"validation",0.737373737373737,0.121300467756285,0.6,0.207920792079208,58,"species",955
"validation",0.626262626262626,0.154036865600634,0.6,0.157894736842105,21,"species",956
"validation",0.717171717171717,0.180022788937741,0.6,0.120879120879121,18,"species",957
"validation",0.676767676767677,0.18226178269276,0.6,0.157894736842105,18,"species",958
"validation",0.636363636363636,0.159606572346204,0.6,0.139784946236559,34,"species",959
"validation",0.777777777777778,0.165643966606998,0.65,0.25531914893617,16,"species",960
"validation",0.545454545454545,0.167080653364252,0.55,0.0217391304347826,37,"species",961
"validation",0.626262626262626,0.250635817200579,0.6,0.120879120879121,12,"species",962
"validation",0.808080808080808,0.147311076926835,0.7,0.354838709677419,38,"species",963
"validation",0.727272727272727,0.154279902651846,0.75,0.468085106382979,30,"species",964
"validation",0.727272727272727,0.14697429513612,0.6,0.157894736842105,34,"species",965
"validation",0.661616161616162,0.13583068595467,0.55,0.0425531914893617,42,"species",966
"validation",0.621212121212121,0.141355543208041,0.6,0.157894736842105,33,"species",967
"validation",0.727272727272727,0.163463051350124,0.65,0.25531914893617,24,"species",968
"validation",0.707070707070707,0.162850806193567,0.55,0.0425531914893617,35,"species",969
"validation",0.732323232323232,0.182246639879891,0.65,0.239130434782609,17,"species",970
"validation",0.707070707070707,0.196318039267332,0.55,0,22,"species",971
"validation",0.808080808080808,0.210353919059948,0.55,0.0217391304347826,18,"species",972
"validation",0.747474747474748,0.163255278514764,0.7,0.354838709677419,24,"species",973
"validation",0.595959595959596,0.20229845311784,0.55,0.0217391304347826,17,"species",974
"validation",0.848484848484848,0.163231965263209,0.65,0.239130434782609,26,"species",975
"validation",0.707070707070707,0.149782202543711,0.7,0.368421052631579,476,"species",976
"validation",0.55050505050505,0.162550883833065,0.55,0,17,"species",977
"validation",0.636363636363636,0.152554144038543,0.65,0.25531914893617,23,"species",978
"validation",0.792929292929293,0.152267644781308,0.5,-0.0989010989010987,42,"species",979
"validation",0.717171717171717,0.197782534065985,0.6,0.120879120879121,17,"species",980
"validation",0.535353535353535,0.16848000506893,0.6,0.157894736842105,31,"species",981
"validation",0.772727272727273,0.134755346379693,0.7,0.368421052631579,25,"species",982
"validation",0.585858585858586,0.173572565598162,0.6,0.120879120879121,17,"species",983
"validation",0.818181818181818,0.175225482054542,0.6,0.120879120879121,24,"species",984
"validation",0.808080808080808,0.159460124066776,0.6,0.157894736842105,35,"species",985
"validation",0.696969696969697,0.195264371035677,0.5,-0.0989010989010987,19,"species",986
"validation",0.823232323232323,0.123528090141046,0.75,0.489795918367347,31,"species",987
"validation",0.631313131313131,0.131886556411736,0.55,0.0217391304347826,30,"species",988
"validation",0.762626262626263,0.134957413972337,0.6,0.157894736842105,33,"species",989
"validation",0.646464646464646,0.187052119537614,0.65,0.270833333333333,19,"species",990
"validation",0.626262626262626,0.133181672391701,0.65,0.239130434782609,35,"species",991
"validation",0.717171717171717,0.152070668174611,0.65,0.239130434782609,75,"species",992
"validation",0.707070707070707,0.145822563426805,0.6,0.157894736842105,468,"species",993
"validation",0.727272727272727,0.116646029988744,0.65,0.239130434782609,473,"species",994
"validation",0.878787878787879,0.13119762388774,0.75,0.468085106382979,36,"species",995
"validation",0.767676767676768,0.174369710261933,0.55,0.0425531914893617,24,"species",996
"validation",0.712121212121212,0.178637966688548,0.7,0.354838709677419,28,"species",997
"validation",0.808080808080808,0.150816398503242,0.65,0.25531914893617,27,"species",998
"validation",0.727272727272727,0.168557719443499,0.6,0.120879120879121,16,"species",999
"validation",0.787878787878788,0.156397780267881,0.7,0.368421052631579,23,"species",1000
"validation",0.616161616161616,0.143906893271149,0.6,0.139784946236559,30,"species",1001
"validation",0.752525252525252,0.132279456630169,0.6,0.139784946236559,104,"species",1002
"validation",0.777777777777778,0.170878386096894,0.65,0.239130434782609,17,"species",1003
"validation",0.757575757575758,0.142421997109697,0.75,0.479166666666667,144,"species",1004
"validation",0.722222222222222,0.201967121065721,0.6,0.139784946236559,17,"species",1005
"validation",0.626262626262626,0.182861878107351,0.55,0.0217391304347826,79,"species",1006
"validation",0.848484848484848,0.220964264859562,0.6,0.120879120879121,15,"species",1007
"validation",0.676767676767677,0.150054069568437,0.65,0.285714285714286,22,"species",1008
"validation",0.691919191919192,0.186239318720184,0.7,0.368421052631579,20,"species",1009
"validation",0.717171717171717,0.244056479828708,0.55,0,13,"species",1010
"validation",0.727272727272727,0.1553987742084,0.55,0.0217391304347826,45,"species",1011
"validation",0.717171717171717,0.182853127209643,0.65,0.270833333333333,22,"species",1012
"validation",0.606060606060606,0.305369893009347,0.55,0,10,"species",1013
"validation",0.686868686868687,0.155768448113468,0.6,0.157894736842105,23,"species",1014
"validation",0.595959595959596,0.167347896145399,0.45,-0.195652173913044,32,"species",1015
"validation",0.474747474747475,0.124794061212824,0.55,0.0217391304347826,55,"species",1016
"validation",0.833333333333333,0.191755289097688,0.6,0.157894736842105,17,"species",1017
"validation",0.696969696969697,0.228475521966985,0.6,0.120879120879121,11,"species",1018
"validation",0.772727272727273,0.149724305660412,0.6,0.120879120879121,31,"species",1019
"validation",0.757575757575758,0.19173386144751,0.6,0.139784946236559,38,"species",1020
"validation",0.656565656565657,0.150447936074794,0.6,0.120879120879121,37,"species",1021
"validation",0.631313131313131,0.156232333581502,0.65,0.239130434782609,43,"species",1022
"validation",0.747474747474747,0.131437778985461,0.55,0.0217391304347826,433,"species",1023
"validation",0.898989898989899,0.172362221767082,0.6,0.120879120879121,17,"species",1024
"validation",0.626262626262626,0.196865171016629,0.65,0.25531914893617,18,"species",1025
"validation",0.707070707070707,0.211024877092392,0.65,0.25531914893617,16,"species",1026
"validation",0.828282828282828,0.179193673035588,0.6,0.120879120879121,18,"species",1027
"validation",0.671717171717172,0.138836835469329,0.55,0.0217391304347826,81,"species",1028
"validation",0.722222222222222,0.15415303701838,0.6,0.191919191919192,47,"species",1029
"validation",0.611111111111111,0.173174386051501,0.65,0.239130434782609,20,"species",1030
"validation",0.848484848484849,0.164915969009734,0.6,0.120879120879121,22,"species",1031
"validation",0.737373737373737,0.19118127027167,0.5,-0.0989010989010987,17,"species",1032
"validation",0.5,0.173697903409655,0.55,0.0217391304347826,19,"species",1033
"validation",0.767676767676768,0.153218721378905,0.8,0.595959595959596,28,"species",1034
"validation",0.570707070707071,0.153153421278524,0.65,0.239130434782609,35,"species",1035
"validation",0.656565656565657,0.151411987241504,0.6,0.139784946236559,29,"species",1036
"validation",0.686868686868687,0.156216474328653,0.55,0.0217391304347826,18,"species",1037
"validation",0.641414141414141,0.174767475718345,0.6,0.139784946236559,19,"species",1038
"validation",0.777777777777778,0.118515766290118,0.6,0.139784946236559,372,"species",1039
"validation",0.606060606060606,0.134698656867945,0.6,0.157894736842105,49,"species",1040
"validation",0.565656565656566,0.144244745960113,0.6,0.157894736842105,412,"species",1041
"validation",0.696969696969697,0.223492563524078,0.6,0.139784946236559,17,"species",1042
"validation",0.686868686868687,0.182201406423913,0.55,0.0425531914893617,22,"species",1043
"validation",0.656565656565657,0.18212176631406,0.6,0.139784946236559,23,"species",1044
"validation",0.737373737373737,0.183411429368125,0.65,0.285714285714286,24,"species",1045
"validation",0.823232323232323,0.156160310219667,0.6,0.139784946236559,39,"species",1046
"validation",0.691919191919192,0.212260636101033,0.5,-0.0526315789473685,18,"species",1047
"validation",0.676767676767677,0.11224285496128,0.65,0.25531914893617,429,"species",1048
"validation",0.681818181818182,0.199738410584803,0.5,-0.0989010989010987,21,"species",1049
"validation",0.636363636363636,0.160964021467216,0.6,0.175257731958763,22,"species",1050
"validation",0.833333333333333,0.171018308941858,0.6,0.120879120879121,10,"subtype",951
"validation",0.797979797979798,0.109310866880139,0.55,0.0217391304347826,33,"subtype",952
"validation",0.772727272727273,0.129083858639923,0.6,0.120879120879121,46,"subtype",953
"validation",0.691919191919192,0.205342888851148,0.6,0.120879120879121,6,"subtype",954
"validation",0.828282828282828,0.137575176068463,0.65,0.25531914893617,17,"subtype",955
"validation",0.797979797979798,0.129761538235789,0.6,0.120879120879121,12,"subtype",956
"validation",0.772727272727273,0.152590967215681,0.6,0.120879120879121,10,"subtype",957
"validation",0.868686868686869,0.132254408272367,0.6,0.120879120879121,34,"subtype",958
"validation",0.752525252525252,0.166699443915204,0.6,0.120879120879121,10,"subtype",959
"validation",0.767676767676768,0.121480323526315,0.55,0,19,"subtype",960
"validation",0.691919191919192,0.158452836804592,0.6,0.120879120879121,15,"subtype",961
"validation",0.813131313131313,0.148228610403093,0.65,0.239130434782609,36,"subtype",962
"validation",0.772727272727273,0.145847848157282,0.7,0.354838709677419,43,"subtype",963
"validation",0.838383838383838,0.141390513425561,0.65,0.239130434782609,52,"subtype",964
"validation",0.808080808080808,0.126543995115611,0.6,0.120879120879121,55,"subtype",965
"validation",0.767676767676768,0.127096597278612,0.6,0.120879120879121,27,"subtype",966
"validation",0.747474747474748,0.116041378185623,0.55,0,36,"subtype",967
"validation",0.777777777777778,0.154605758565799,0.6,0.120879120879121,15,"subtype",968
"validation",0.838383838383838,0.147948722021596,0.55,0,18,"subtype",969
"validation",0.808080808080808,0.160120215517739,0.55,0,13,"subtype",970
"validation",0.772727272727273,0.173103081811458,0.7,0.368421052631579,17,"subtype",971
"validation",0.702020202020202,0.204630855339095,0.55,0,9,"subtype",972
"validation",0.757575757575758,0.144676624985762,0.6,0.120879120879121,25,"subtype",973
"validation",0.777777777777778,0.123682868944903,0.6,0.120879120879121,20,"subtype",974
"validation",0.828282828282828,0.14997663495301,0.55,0,50,"subtype",975
"validation",0.722222222222222,0.138453952857244,0.55,0,19,"subtype",976
"validation",0.757575757575758,0.169033295633416,0.55,0,9,"subtype",977
"validation",0.752525252525252,0.113508226872879,0.6,0.120879120879121,59,"subtype",978
"validation",0.858585858585859,0.136603135912509,0.65,0.239130434782609,29,"subtype",979
"validation",0.909090909090909,0.141926013769153,0.65,0.25531914893617,88,"subtype",980
"validation",0.838383838383838,0.168834026870271,0.6,0.120879120879121,18,"subtype",981
"validation",0.797979797979798,0.134634425924342,0.55,0,15,"subtype",982
"validation",0.782828282828283,0.130978077274735,0.55,0,11,"subtype",983
"validation",0.838383838383838,0.167026327137488,0.6,0.120879120879121,15,"subtype",984
"validation",0.767676767676768,0.137149605979327,0.6,0.120879120879121,37,"subtype",985
"validation",0.823232323232323,0.193479036827171,0.55,0,10,"subtype",986
"validation",0.818181818181818,0.105350888242701,0.55,0,37,"subtype",987
"validation",0.792929292929293,0.115334659528438,0.6,0.120879120879121,32,"subtype",988
"validation",0.767676767676768,0.127190636918998,0.6,0.120879120879121,10,"subtype",989
"validation",0.828282828282828,0.131164180950494,0.65,0.270833333333333,29,"subtype",990
"validation",0.777777777777778,0.106960677511711,0.6,0.120879120879121,39,"subtype",991
"validation",0.686868686868687,0.131419571569281,0.6,0.120879120879121,26,"subtype",992
"validation",0.878787878787879,0.15717980306798,0.55,0,17,"subtype",993
"validation",0.702020202020202,0.155123557782977,0.55,0,10,"subtype",994
"validation",0.848484848484848,0.118699012807589,0.6,0.120879120879121,24,"subtype",995
"validation",0.757575757575758,0.151451743167409,0.55,0.0217391304347826,35,"subtype",996
"validation",0.696969696969697,0.141972923914637,0.55,0,19,"subtype",997
"validation",0.686868686868687,0.158413050486642,0.6,0.120879120879121,17,"subtype",998
"validation",0.646464646464646,0.158060755542118,0.6,0.120879120879121,7,"subtype",999
"validation",0.808080808080808,0.116402644013829,0.6,0.120879120879121,46,"subtype",1000
"validation",0.737373737373737,0.146978135862664,0.55,0,26,"subtype",1001
"validation",0.767676767676768,0.146855796805172,0.6,0.139784946236559,12,"subtype",1002
"validation",0.818181818181818,0.134140318114646,0.6,0.120879120879121,17,"subtype",1003
"validation",0.727272727272727,0.17965296404786,0.6,0.120879120879121,10,"subtype",1004
"validation",0.888888888888889,0.136140014138109,0.65,0.239130434782609,51,"subtype",1005
"validation",0.595959595959596,0.150564052456235,0.55,0.0217391304347826,16,"subtype",1006
"validation",0.777777777777778,0.162427838361037,0.55,0,14,"subtype",1007
"validation",0.777777777777778,0.141540800298166,0.55,0.0217391304347826,21,"subtype",1008
"validation",0.767676767676768,0.128451426783905,0.65,0.239130434782609,32,"subtype",1009
"validation",0.686868686868687,0.140038970977947,0.6,0.120879120879121,15,"subtype",1010
"validation",0.888888888888889,0.15212599564132,0.65,0.239130434782609,20,"subtype",1011
"validation",0.777777777777778,0.156528759020694,0.6,0.120879120879121,13,"subtype",1012
"validation",0.808080808080808,0.125499845732987,0.55,0.0217391304347826,49,"subtype",1013
"validation",0.843434343434343,0.134894980248494,0.65,0.239130434782609,16,"subtype",1014
"validation",0.787878787878788,0.163509420832352,0.55,0,15,"subtype",1015
"validation",0.727272727272727,0.129666175612129,0.55,0,18,"subtype",1016
"validation",0.848484848484849,0.181523960432113,0.6,0.120879120879121,9,"subtype",1017
"validation",0.818181818181818,0.11098740688985,0.6,0.120879120879121,54,"subtype",1018
"validation",0.843434343434343,0.136536093835379,0.55,0,28,"subtype",1019
"validation",0.702020202020202,0.165645125323215,0.6,0.120879120879121,14,"subtype",1020
"validation",0.833333333333333,0.169197246525602,0.65,0.239130434782609,24,"subtype",1021
"validation",0.843434343434343,0.140789322975042,0.6,0.120879120879121,19,"subtype",1022
