"number","n_gene","cat"
"V",64039,"COG_category"
"K",50551,"COG_category"
"P",39737,"COG_category"
"M",33698,"COG_category"
"J",29430,"COG_category"
"G",28546,"COG_category"
"E",25822,"COG_category"
"U",17428,"COG_category"
"S",14263,"COG_category"
"T",9333,"COG_category"
"H",6723,"COG_category"
"I",2609,"COG_category"
"L",2434,"COG_category"
"F",1784,"COG_category"
"C",1249,"COG_category"
"D",320,"COG_category"
"N",127,"COG_category"
"O",115,"COG_category"
"Q",105,"COG_category"
"B",2,"COG_category"
"A",1,"COG_category"
"Z",1,"COG_category"
"GO:0003674",147973,"GOs"
"GO:0008150",145094,"GOs"
"GO:0005575",144870,"GOs"
"GO:0005623",140955,"GOs"
"GO:0044464",140955,"GOs"
"GO:0016020",109214,"GOs"
"GO:0071944",107551,"GOs"
"GO:0005886",103330,"GOs"
"GO:0050896",97609,"GOs"
"GO:0042221",85115,"GOs"
"GO:0009987",78979,"GOs"
"GO:0005488",75057,"GOs"
"GO:0051179",73076,"GOs"
"GO:0051234",73055,"GOs"
"GO:0006810",73044,"GOs"
"GO:0044425",69562,"GOs"
"GO:0055085",69546,"GOs"
"GO:0031224",69370,"GOs"
"GO:0005215",66646,"GOs"
"GO:0022857",64679,"GOs"
"GO:0044459",61907,"GOs"
"GO:0016021",61826,"GOs"
"GO:0031226",61685,"GOs"
"GO:0065007",54944,"GOs"
"GO:0042493",53435,"GOs"
"GO:0008152",51854,"GOs"
"GO:0044237",51548,"GOs"
"GO:0097159",51242,"GOs"
"GO:1901363",51242,"GOs"
"GO:0005887",50272,"GOs"
"GO:0050789",46794,"GOs"
"GO:0050794",46786,"GOs"
"GO:0071704",46707,"GOs"
"GO:0015893",44126,"GOs"
"GO:0044238",44092,"GOs"
"GO:0006811",43709,"GOs"
"GO:0043170",43518,"GOs"
"GO:0005515",42499,"GOs"
"GO:0006855",40724,"GOs"
"GO:0019222",40698,"GOs"
"GO:0060255",40692,"GOs"
"GO:0031323",40690,"GOs"
"GO:0080090",40687,"GOs"
"GO:0051171",40684,"GOs"
"GO:0010468",40640,"GOs"
"GO:0009889",40632,"GOs"
"GO:0010556",40632,"GOs"
"GO:0031326",40632,"GOs"
"GO:2000112",40583,"GOs"
"GO:0042802",40494,"GOs"
"GO:0003676",39932,"GOs"
"GO:0022804",39664,"GOs"
"GO:0003824",39063,"GOs"
"GO:0071702",38805,"GOs"
"GO:0044260",38692,"GOs"
"GO:0034220",38147,"GOs"
"GO:0015238",36789,"GOs"
"GO:0006807",36528,"GOs"
"GO:0015075",36309,"GOs"
"GO:0019219",36183,"GOs"
"GO:0051252",36181,"GOs"
"GO:1903506",36130,"GOs"
"GO:2001141",36130,"GOs"
"GO:0006355",36081,"GOs"
"GO:0009058",35408,"GOs"
"GO:1901576",35408,"GOs"
"GO:0044249",35407,"GOs"
"GO:0003677",35387,"GOs"
"GO:0015291",34381,"GOs"
"GO:0015297",34375,"GOs"
"GO:0005622",33671,"GOs"
"GO:0044424",33671,"GOs"
"GO:0005737",33641,"GOs"
"GO:0009059",32261,"GOs"
"GO:0034645",32260,"GOs"
"GO:0034641",30053,"GOs"
"GO:1901360",29520,"GOs"
"GO:0046483",29512,"GOs"
"GO:0006812",29433,"GOs"
"GO:0098655",29429,"GOs"
"GO:0008324",29417,"GOs"
"GO:0006725",29398,"GOs"
"GO:0006139",29348,"GOs"
"GO:0090304",28977,"GOs"
"GO:0016070",28778,"GOs"
"GO:0032991",28739,"GOs"
"GO:0046677",28240,"GOs"
"GO:0044444",28000,"GOs"
"GO:0005829",27513,"GOs"
"GO:0051716",26791,"GOs"
"GO:0015318",26563,"GOs"
"GO:0048519",26257,"GOs"
"GO:0009892",26256,"GOs"
"GO:0010605",26252,"GOs"
"GO:0010629",26250,"GOs"
"GO:0048523",26200,"GOs"
"GO:0031324",26199,"GOs"
"GO:0051172",26194,"GOs"
"GO:0009890",26193,"GOs"
"GO:0010558",26193,"GOs"
"GO:0031327",26193,"GOs"
"GO:2000113",26193,"GOs"
"GO:0044271",25117,"GOs"
"GO:0098660",24832,"GOs"
"GO:0010467",24758,"GOs"
"GO:1901362",23425,"GOs"
"GO:0018130",23424,"GOs"
"GO:0019438",23304,"GOs"
"GO:0034654",23260,"GOs"
"GO:0006351",22896,"GOs"
"GO:0032774",22896,"GOs"
"GO:0097659",22896,"GOs"
"GO:0043565",21920,"GOs"
"GO:0045934",21693,"GOs"
"GO:0045892",21691,"GOs"
"GO:0051253",21691,"GOs"
"GO:1902679",21691,"GOs"
"GO:1903507",21691,"GOs"
"GO:0071705",20367,"GOs"
"GO:0016740",19777,"GOs"
"GO:0098662",19681,"GOs"
"GO:0022890",19679,"GOs"
"GO:0046618",19671,"GOs"
"GO:0015672",19565,"GOs"
"GO:1902600",19565,"GOs"
"GO:0015077",19563,"GOs"
"GO:0015078",19563,"GOs"
"GO:0015298",19558,"GOs"
"GO:0015299",19558,"GOs"
"GO:0008144",19354,"GOs"
"GO:0001067",18729,"GOs"
"GO:0044212",18729,"GOs"
"GO:0043167",18101,"GOs"
"GO:0015307",17941,"GOs"
"GO:0098796",17887,"GOs"
"GO:0036094",17674,"GOs"
"GO:0043168",17674,"GOs"
"GO:0006950",16898,"GOs"
"GO:0140110",16832,"GOs"
"GO:0003700",16780,"GOs"
"GO:1902495",16041,"GOs"
"GO:1990351",16041,"GOs"
"GO:0048518",14368,"GOs"
"GO:0048522",14368,"GOs"
"GO:0009893",14364,"GOs"
"GO:0010604",14364,"GOs"
"GO:0031325",14364,"GOs"
"GO:0051173",14364,"GOs"
"GO:0045935",14315,"GOs"
"GO:0051254",14315,"GOs"
"GO:0009891",14264,"GOs"
"GO:0010557",14264,"GOs"
"GO:0010628",14264,"GOs"
"GO:0031328",14264,"GOs"
"GO:0045893",14264,"GOs"
"GO:1902680",14264,"GOs"
"GO:1903508",14264,"GOs"
"GO:0033036",14221,"GOs"
"GO:0016787",13509,"GOs"
"GO:0000166",13331,"GOs"
"GO:1901265",13331,"GOs"
"GO:0017076",13218,"GOs"
"GO:0032553",13218,"GOs"
"GO:0032555",13218,"GOs"
"GO:0097367",13218,"GOs"
"GO:0003690",12896,"GOs"
"GO:1990837",12895,"GOs"
"GO:0000976",12894,"GOs"
"GO:0070887",12545,"GOs"
"GO:0006820",12469,"GOs"
"GO:0010876",12440,"GOs"
"GO:0006869",12439,"GOs"
"GO:0015711",12397,"GOs"
"GO:1901264",11882,"GOs"
"GO:0006793",11873,"GOs"
"GO:0007154",11768,"GOs"
"GO:0006796",11759,"GOs"
"GO:0015695",11421,"GOs"
"GO:0015696",11421,"GOs"
"GO:0008519",11420,"GOs"
"GO:0015101",11420,"GOs"
