subtype	SC00000378.kneaddata_paired	SC00000553.kneaddata_paired	SC00000858.kneaddata_paired	SC00001700.kneaddata_paired	SC00001720.kneaddata_paired	SC00001864.kneaddata_paired	SC00001943.kneaddata_paired	SC00002070.kneaddata_paired	SC00002103.kneaddata_paired	SC00002108.kneaddata_paired	SC00002463.kneaddata_paired	SC00002787.kneaddata_paired	SC00002803.kneaddata_paired	SC00002818.kneaddata_paired	SC00003651.kneaddata_paired	SC00003652.kneaddata_paired	SC00004621.kneaddata_paired	SC00004851.kneaddata_paired	SC00004966.kneaddata_paired	SC00004967.kneaddata_paired	SC00005808.kneaddata_paired	SC00005813.kneaddata_paired	SC00005845.kneaddata_paired	SC00005855.kneaddata_paired	SC00005863.kneaddata_paired	SC00007310.kneaddata_paired	SC00007313.kneaddata_paired	SC00007325.kneaddata_paired	SC00007509.kneaddata_paired	SC00007510.kneaddata_paired	SC00008013.kneaddata_paired	SC00008023.kneaddata_paired	SC00008896.kneaddata_paired	SC00008904.kneaddata_paired	SC00008985.kneaddata_paired	SC00008998.kneaddata_paired	SC00009004.kneaddata_paired	SC00009007.kneaddata_paired	SC00009837.kneaddata_paired	SC00009843.kneaddata_paired	SC00009872.kneaddata_paired	SC00009972.kneaddata_paired	SC00024944.kneaddata_paired	SC00026292.kneaddata_paired	SC00032321.kneaddata_paired	SC00037679.kneaddata_paired	SC00037693.kneaddata_paired	SC00038836.kneaddata_paired	SC00038859.kneaddata_paired	SC00038864.kneaddata_paired	SC00041523.kneaddata_paired	SC00043321.kneaddata_paired	SC00043893.kneaddata_paired	SC00044423.kneaddata_paired	SC00046044.kneaddata_paired	SC00046133.kneaddata_paired	SC00046143.kneaddata_paired	SC00048329.kneaddata_paired	SC00049990.kneaddata_paired	SC00050585.kneaddata_paired	SC00050662.kneaddata_paired	SC00051654.kneaddata_paired	SC00053767.kneaddata_paired	SC00054575.kneaddata_paired	SC00055476.kneaddata_paired	SC00056203.kneaddata_paired	SC00056243.kneaddata_paired	SC00056258.kneaddata_paired	SC00056279.kneaddata_paired	SC00057853.kneaddata_paired	SC00058108.kneaddata_paired	SC00058109.kneaddata_paired	SC00060358.kneaddata_paired	SC00060382.kneaddata_paired	SC00060695.kneaddata_paired	SC00060930.kneaddata_paired	SC00060997.kneaddata_paired	SC00061426.kneaddata_paired	SC00061473.kneaddata_paired	SC00061687.kneaddata_paired	SC00061886.kneaddata_paired	SC00062692.kneaddata_paired	SC00062695.kneaddata_paired	SC00065146.kneaddata_paired	SC00065767.kneaddata_paired	SC00065781.kneaddata_paired	SC00065896.kneaddata_paired	SC00066529.kneaddata_paired	SC00075098.kneaddata_paired	SC00075227.kneaddata_paired	SC00075286.kneaddata_paired	SC00076979.kneaddata_paired	SC00079612.kneaddata_paired	SC00080168.kneaddata_paired	SC00080654.kneaddata_paired	SC00081168.kneaddata_paired	SC00081663.kneaddata_paired	SC00082121.kneaddata_paired	SC00082632.kneaddata_paired	SC00082741.kneaddata_paired	SC00082921.kneaddata_paired	SC00083228.kneaddata_paired	SC00083572.kneaddata_paired	SC00084039.kneaddata_paired	SC00084733.kneaddata_paired	SC00084793.kneaddata_paired	SC00084808.kneaddata_paired	SC00084959.kneaddata_paired	SC00084961.kneaddata_paired	SC00085221.kneaddata_paired	SC00085433.kneaddata_paired	SC00086127.kneaddata_paired	SC00086356.kneaddata_paired	SC00086428.kneaddata_paired	SC00086441.kneaddata_paired	SC00087304.kneaddata_paired	SC00088328.kneaddata_paired	SC00088579.kneaddata_paired	SC00088881.kneaddata_paired	SC00089003.kneaddata_paired	SC00089156.kneaddata_paired	SC00089373.kneaddata_paired	SC00090159.kneaddata_paired	SC00090327.kneaddata_paired	SC00090468.kneaddata_paired	SC00091152.kneaddata_paired	SC00091690.kneaddata_paired	SC00091744.kneaddata_paired	SC00092098.kneaddata_paired	SC00092474.kneaddata_paired	SC00092660.kneaddata_paired	SD00178452.kneaddata_paired	SD00178828.kneaddata_paired	SD00181844.kneaddata_paired	SD00181858.kneaddata_paired	SD00190854.kneaddata_paired	SD00191090.kneaddata_paired	SD00191781.kneaddata_paired	SD00192061.kneaddata_paired	SD00192078.kneaddata_paired	SD00192358.kneaddata_paired	SD00192671.kneaddata_paired	SD00193093.kneaddata_paired	SD00193137.kneaddata_paired	SD00193146.kneaddata_paired	SD00193415.kneaddata_paired	SD00193422.kneaddata_paired	SD00193428.kneaddata_paired	SD00193777.kneaddata_paired	SD00194785.kneaddata_paired	SD00195472.kneaddata_paired	SD00195785.kneaddata_paired	SD00195810.kneaddata_paired	SD00198723.kneaddata_paired	SD00198782.kneaddata_paired	SD00199318.kneaddata_paired	SD00199825.kneaddata_paired	SD00199843.kneaddata_paired	SD00200671.kneaddata_paired	SD00202254.kneaddata_paired	SD00202782.kneaddata_paired
aminoglycoside__AAC(2')-IIa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002108444523649555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002425700770307389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.873866598365546e-05	0.00013711584005758382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.334292851463413e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.276842771503004e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(2')-Ib	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001522361380262528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(3)-IIa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010467137595672287	0.01647504315329132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021051818656374444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010833268096601957	0.0	0.0	0.0	0.0	0.014867340069343045	0.017923490360713307	0.023420537005011725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0182504233087571	0.0	0.0	0.0	0.0	0.0	0.0	0.003320865207741854	0.0	0.0	0.008687959069768762	0.0	0.012718670861457244	0.0	0.0	0.0	0.0	0.0	0.01928894310304581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05993853453464214	0.0	0.08652624059640661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039680487945067846	0.0	0.0	0.0	0.0	9.079871103276253e-05	0.0	0.0	0.0	0.0	0.0	0.04494205048720451	0.02772895920978291	0.0	0.0
aminoglycoside__AAC(3)-IIc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003221303937842224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020195895717541334	0.03428197367566302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.355266849231873e-05	9.656262306590826e-05	0.0	0.0	0.0	0.0	0.0	0.006869526362541212	0.0	0.0	0.0	0.0	0.0	0.03432380599173676	0.0	0.0	0.00019608835750823344	0.0	0.0	9.218019805914309e-05	0.0	0.0	0.000148914641738879	0.0	0.0	0.0	0.0	0.0	0.034938937674639174	0.0	0.0	0.0	0.0	0.020287925410658665	0.03453620082223296	0.03789224013423855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028332288272651458	0.0	0.0	0.0	0.0	0.0	0.0	0.007554598266051678	0.0	0.0	0.014822087512667127	0.0	0.0428171004979634	0.0	0.0	0.0	0.0	0.0	0.030507056796663573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020466901192766368	0.0	0.0	0.13802631135007906	0.0	0.15276242943729718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018003052891150414	0.0	6.583852204604663e-05	9.079871103276253e-05	0.0	0.0	0.0	0.0	9.22096860830979e-05	0.06527195850892947	0.0587616605202613	5.9804209246679905e-05	0.0
aminoglycoside__AAC(3)-IId	7.969011222438319e-05	0.0	0.15595794294576573	0.0	0.0	0.0	0.0	0.0	0.0	0.0004047279306519718	0.0	0.00021124444684154413	0.0	0.0	0.0	0.0	0.0	0.0003973278885367998	0.0	0.00011947681175100354	0.0	0.0	0.0	0.0	0.0	0.0	0.00012035431953457287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000170712653092925	0.0	0.0	0.02640530673938185	0.00019601387075726217	0.29774002789260784	0.563727382996769	0.0	0.0	0.0	0.003980418144541824	0.0	0.0003197404892906651	0.0	0.0	0.0002489869521071098	9.46313706045901e-05	0.0	0.0	0.0	0.0	0.0	0.006869526362541212	0.0006952800722491204	0.00045126147801874915	0.0	0.0	0.0001484830846623406	0.5513037197301016	0.0006578812384622451	0.0	0.0018100463769990778	0.00020359624735823048	0.0001889251731860919	0.00046278221882753467	9.169535624215002e-05	0.0	0.000148914641738879	0.0	0.0	0.0	0.0	0.0001649596805794258	0.6718735740658475	0.0	0.0	0.0	0.0	0.36159189852061335	0.5494767966008424	0.624821458532354	0.0	0.0	0.027517484498653044	0.0	0.0	0.0	0.0003274019899626342	0.0	0.0	0.0017888526018839629	0.5112859653413352	0.04312129587221836	0.0	0.0	0.0	0.0	0.0	0.1273648028374872	0.0	0.0	0.27072331873269506	0.0	0.7418180167690149	0.0	0.0	0.0	8.614298757970484e-05	0.0	0.5469098203654895	0.0042622742980181	0.0001515686118225942	0.0	0.0	0.0	8.641261598420773e-05	0.0	0.0	0.0	0.0	0.0002223079834270983	0.0001832181263305355	0.0003066055770182006	0.000305969836013073	0.0	0.0	2.058988483290119	0.0	2.4593190366192883	0.00032968411294065716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003544931033205906	0.0	0.0003724579247176352	0.0005484983360346472	0.0	0.0	0.0	0.0001714928600735436	9.22096860830979e-05	1.2251365687720814	0.9613709717535385	0.00024043733105297838	0.0005366342385928125
aminoglycoside__AAC(3)-IIe	7.809630997989553e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012224435456426905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18002735601712289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003311454836946942	0.0	0.00017554136183822557	0.011735691884169711	0.00019209359334211695	0.13375567825954074	0.24146794585068454	0.001000051379029493	0.0	0.0	0.0	0.0	0.0003154486706424683	0.0	0.0	0.00016100765217148943	0.0	0.0	0.0	0.0	7.866219376069689e-05	0.0	0.0	0.000349404706358695	0.00020193436002665486	0.0	0.0	0.0001484830846623406	0.2342289266689684	0.0001993685130598168	0.0	0.00041115623000707527	0.0	0.0	6.772422714549289e-05	8.68373241233606e-05	0.0	0.0	0.0	0.0	0.0	0.002822021688244846	0.00011992653746318816	0.3727594208092251	0.0	0.0	0.0	0.0	0.1492253379982898	0.23167930927729002	0.27534656052458395	0.0	0.0	0.027517484498653044	0.0	0.0	0.0	9.301192896665743e-05	0.0	0.0	0.000928447424045296	0.2248264527851975	0.014568005362235929	0.0	0.0	0.0	0.0	0.0	0.05508097884834049	0.0	0.0	0.10848715315987277	0.0	0.448738741408311	0.0	0.0	0.0	0.00040200060870528926	0.0	0.23434275658893425	0.0	6.591052960389199e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010336818784225438	0.0	0.0	0.903369779850542	0.0	1.0627910816053245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039680487945067846	0.0	0.00023851248812232793	0.0	9.217393086446528e-05	9.079871103276253e-05	0.0	0.0	0.0	0.0	0.0	0.5358070128768042	0.4077922422883598	0.0	0.00011716904772768834
aminoglycoside__AAC(3)-IV	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012078252460372905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023729670355017408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6127163654941238	1.2369051140910379	0.0005465388183184954	0.0	0.0	0.004396445517556788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003753164525430436	0.0	0.0	1.1059540950312194	0.0	0.0	0.0008909250044925631	0.0006475039752254043	0.0003859471395087306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004415160454009635	0.00034170611819401073	0.0	0.0	0.0	0.0	7.177098116472703e-05	0.5423768546465422	0.8906589349376691	0.8284376628446651	0.23532787390692061	0.001972751188059519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016047090898880833	0.9120204728186285	0.0	0.0	0.0	0.0004620831639287185	0.0	0.0	0.18956767588362136	0.0	0.00018644988548156263	0.4807263901700385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.989440272002571	0.0	0.0	0.0	0.0	0.0	0.00040184950232635886	0.0	0.0	0.0	0.0	0.0	0.00039081129156516656	0.0	0.0	0.0	0.0	0.00025614301406839555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034711968288167507	0.0	0.0	0.0	0.0	0.0	0.00047778446320429917	0.0	0.0	0.0	0.0
aminoglycoside__AAC(3)-Ia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031810884439319875	0.0	0.0	0.0
aminoglycoside__AAC(3)-Ib/AAC(6')-Ib''	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.33450185337869e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000124186982176494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.581839821556306e-05	0.0	0.0	3.895945580798211e-05	0.0	0.0	0.0	0.0	5.8191621667871084e-05
aminoglycoside__AAC(6')-30/AAC(6')-Ib' fusion protein	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1197979887005466e-05	0.0	0.0	0.0	0.0	6.538604419535388e-05
