"subtype","mean_nec","median_nec","q25_nec","q75_nec","se_nec","freq_nec","mean_no","median_no","q25_no","q75_no","se_no","freq_no","pval","mean","max","prevalence"
"subtype_aminoglycoside__AAC(2')-Ic",0,0,0,0,0,0,4.75612560043821e-05,0,0,0,3.66222246634922e-05,2,0.43586890012059,2.75175838311068e-05,0.00553537307705747,0.00714285714285714
"subtype_aminoglycoside__AAC(3)-IV",0,0,0,0,0,0,8.38918895694343e-05,0,0,0,6.87567714936232e-05,2,0.43586890012059,4.85374503937441e-05,0.0108009866791448,0.00714285714285714
"subtype_aminoglycoside__AAC(6')-Ie-APH(2'')-Ia",0.0921504928989726,0.000971952557616414,0,0.0197980224902614,0.0209751669503729,84,0.13552841025412,0.00335117596701625,0.000261012139239464,0.0749146995444169,0.0255595713501411,134,0.367443328855972,0.117247716511594,2.31787010095367,0.778571428571429
"subtype_aminoglycoside__AAC(6')-Ii",0.0108141553348088,0,0,0,0.00638501064522565,9,0.0222808112780612,0,0,0,0.00739863154835686,25,0.188046478117641,0.0174484348448334,0.693833267586778,0.121428571428571
"subtype_aminoglycoside__AAC(6')-Im",0,0,0,0,0,0,4.25347808371185e-05,0,0,0,4.25347808371185e-05,1,0.592980098017425,2.46094089129043e-05,0.0068906344956132,0.00357142857142857
"subtype_aminoglycoside__AAC(6')-Iy",0,0,0,0,0,0,6.73592825252383e-05,0,0,0,6.73592825252383e-05,1,0.592980098017425,3.89721563181736e-05,0.0109122037690886,0.00357142857142857
"subtype_aminoglycoside__ANT(2'')-Ia",0.000111834571204879,0,0,0,5.61090542109445e-05,13,0.000287098955570263,0,0,0,0.000105477997010134,31,0.11728589603349,0.000213237536444851,0.0138768371748669,0.157142857142857
"subtype_aminoglycoside__ANT(3'')-IIc",4.71204536735607e-06,0,0,0,4.71204536735607e-06,1,4.68203648964518e-05,0,0,0,4.25119265052642e-05,3,0.699567176474618,2.90747159520472e-05,0.00685803052090719,0.0142857142857143
"subtype_aminoglycoside__ANT(4')-Ib",0.00135476906725868,0,0,0.000213335811063065,0.000483083005935289,36,0.0209312538431797,0,0,0.000344544597525347,0.014227311721009,57,0.290900184175906,0.0126811638304701,2.20448763985617,0.332142857142857
"subtype_aminoglycoside__ANT(6)-Ia",0.0400955986425644,0,0,0.00156892939212297,0.0205014865787542,55,0.040066725582185,0.000248589898975285,0,0.00267241432172952,0.0108360503199189,92,0.340027081176287,0.0400788935147734,2.28057041256965,0.525
"subtype_aminoglycoside__ANT(6)-Ib",0.000579120827154224,0,0,0,0.000547114262550703,5,0.000978388020172247,0,0,0,0.00038693564174965,19,0.0422100499580573,0.000810125417400366,0.0645640064408435,0.0857142857142857
"subtype_aminoglycoside__APH(2'')-IIa",3.50124825077344e-06,0,0,0,3.50124825077344e-06,1,2.01204930920011e-05,0,0,0,2.01204930920011e-05,1,0.987031038626755,1.31166684803409e-05,0.00325951988090418,0.00714285714285714
"subtype_aminoglycoside__APH(2'')-If",0.000137137146882342,0,0,0,6.47532856700196e-05,12,0.000304441665426396,0,0,0,0.000182116940754013,17,0.370851264635963,0.00023393476118283,0.0265014388356193,0.103571428571429
"subtype_aminoglycoside__APH(3'')-Ib",0.0765221950772051,0,0,0,0.0274412264928769,25,0.0838828751116246,0,0,0.000630280972014053,0.0253025842183659,58,0.140373453397842,0.0807808742399764,1.97177382170843,0.296428571428571
"subtype_aminoglycoside__APH(3')-IIIa",0.0689143501238218,0,0,0.00215957139879103,0.0308205544342388,55,0.0599433559139412,0.000148319316474248,0,0.00419391433673444,0.0168162250153535,85,0.730839668744486,0.0637239891881051,3.09875880349101,0.5
"subtype_aminoglycoside__APH(3')-IIb",0.000351516476921476,0,0,0,0.000251149214621083,5,0.00237070050122904,0,0,0,0.00139071929607119,17,0.0268923112420296,0.00151975866241371,0.194195185675012,0.0785714285714286
"subtype_aminoglycoside__APH(3')-Ia",0.0010140631859333,0,0,0,0.000536508802137308,24,0.0357417925597477,0,0,0.000495847658751992,0.010792480255271,52,0.0647637346597725,0.0211065351807831,1.01550311241451,0.271428571428571
"subtype_aminoglycoside__APH(3')-VI",0,0,0,0,0,0,7.62011972339253e-07,0,0,0,7.62011972339253e-07,1,0.459292185186708,4.40878355424854e-07,0.000123445939518959,0.00357142857142857
"subtype_aminoglycoside__APH(4)-Ia",0,0,0,0,0,0,2.86156957894309e-05,0,0,0,2.5823582195127e-05,3,0.312113336728557,1.65562239924565e-05,0.00416402027834102,0.0107142857142857
"subtype_aminoglycoside__APH(6)-Ic",0.000127174431852995,0,0,0,7.52023520723823e-05,8,0.000977277649611882,0,0,0,0.000497176968576474,18,0.102137995252597,0.000619019864984922,0.0616655003890324,0.0928571428571429
"subtype_aminoglycoside__APH(6)-Id",0.0501452611355269,0,0,0,0.0212849771845391,21,0.0244738566631068,0,0,0.000307097639124387,0.00902022649737252,50,0.190425711194347,0.0352925199764838,1.51353117870762,0.253571428571429
"subtype_aminoglycoside__aad(6)",0.0815157050851701,0,0,0.00195335074927067,0.0397354334796183,52,0.0723150811042805,0.000354202383399295,0,0.00475819371715746,0.0209576049336019,88,0.211272023008442,0.0761924869247983,4.25328953988505,0.5
"subtype_aminoglycoside__aadA",0.00703279500877114,0,0,0,0.00269675590357069,25,0.0133095397151171,0,0,4.87974304825416e-05,0.00360945159572349,44,0.791015636076682,0.0106643401602999,0.235287134008831,0.246428571428571
"subtype_aminoglycoside__aadA12",0.000615505846719105,0,0,0,0.000546891079448694,13,0.00180359041881099,0,0,0,0.000872686459971238,13,0.212166660159891,0.00130289763485798,0.0858883101499587,0.0928571428571429
"subtype_aminoglycoside__aadA13",1.37678465277017e-05,0,0,0,8.75725935980144e-06,4,0.000237406486764938,0,0,0,0.000137543740533092,10,0.503277823866294,0.000143158774093531,0.0169171454105112,0.05
"subtype_aminoglycoside__aadA16",2.91554382160747e-06,0,0,0,2.91554382160747e-06,1,0,0,0,0,0,0,0.176590434727019,1.22869346767743e-06,0.000344034170949681,0.00357142857142857
"subtype_aminoglycoside__aadA17",6.17389451911993e-05,0,0,0,4.74928848120613e-05,7,0.00165720438465463,0,0,0,0.000929975202773763,13,0.906664883209444,0.000984829663737896,0.0976545804867894,0.0714285714285714
"subtype_aminoglycoside__aadA21",4.28521996019855e-05,0,0,0,2.58467204286724e-05,11,0.00100345097858399,0,0,0,0.000547942846056252,11,0.1411006400559,0.000598627207441576,0.0574563178244551,0.0785714285714286
"subtype_aminoglycoside__aadA22",7.44169215707551e-05,0,0,0,4.64398251175535e-05,13,0.00192763976077843,0,0,0,0.0010725920567748,18,0.662821814632631,0.00114663870711234,0.122403908136635,0.110714285714286
"subtype_aminoglycoside__aadA23",0.000227770667619006,0,0,0,0.000167516392948563,11,0.00547348018505784,0,0,0,0.00305077344360198,25,0.523693697541955,0.00326278831699433,0.298352748084339,0.128571428571429
"subtype_aminoglycoside__aadA24",2.70722085145898e-05,0,0,0,1.64608662132035e-05,6,0.000751483362755619,0,0,0,0.000409626673797743,14,0.576554629284804,0.0004461958048969,0.0479297941133139,0.0714285714285714
"subtype_aminoglycoside__aadA27",7.08322154730208e-07,0,0,0,7.08322154730208e-07,1,8.60574520386754e-05,0,0,0,5.24170333045987e-05,4,0.603019161267026,5.00888901590128e-05,0.00769625300365725,0.0178571428571429
"subtype_aminoglycoside__aadA8",0.000771404330187054,0,0,0,0.000766765029526636,2,0.000530285716722911,0,0,0,0.000486249128969886,8,0.361114801073593,0.000631899989539943,0.0904812888323935,0.0357142857142857
"subtype_aminoglycoside__aadS",2.49405617589899e-05,0,0,0,2.0882532174018e-05,4,0.000269674840811623,0,0,0,0.000152325425204001,11,0.542722000662791,0.00016653682321087,0.0191591192278584,0.0535714285714286
"subtype_aminoglycoside__amrA",2.44158996270439e-06,0,0,0,1.80537751555492e-06,2,1.08132047743591e-05,0,0,0,6.38874240076318e-06,9,0.0807883370055729,7.28516710373316e-06,0.00099162720063168,0.0392857142857143
"subtype_aminoglycoside__amrB",1.092227707796e-05,0,0,9.71283133004048e-06,2.72776709695061e-06,33,4.61434691952071e-05,0,0,3.60683817638492e-06,1.42889357300548e-05,42,0.530712720637485,3.13002525172244e-05,0.00159235084885146,0.267857142857143
"subtype_aminoglycoside__npmA",0,0,0,0,0,0,1.12943986446643e-05,0,0,0,1.12943986446643e-05,1,0.592980098017424,6.53461635869861e-06,0.00182969258043561,0.00357142857142857
"subtype_antibacterial_fatty_acid__farA",8.04432687987903e-06,0,0,0,3.28874668152405e-06,12,5.44093839328463e-06,0,0,0,1.65015352870831e-06,18,0.747400233498013,6.5380806840637e-06,0.000317911762919601,0.107142857142857
"subtype_bacitracin__bacA",0.916472649143076,0.969821700345245,0.643203938352924,1.20878461748105,0.0365357079996158,118,0.753943647640217,0.755471859584319,0.441683135484389,1.14223420206258,0.0329354336408609,162,0.00347895208156916,0.822438012559279,2.2014971525963,1
"subtype_bacitracin__bcrA",0.00258551258646201,0.000559952247459567,0,0.00155946421930135,0.000710287856360553,84,0.00476691151662046,0.000635683552196706,5.30823796898988e-05,0.00189673054775238,0.00194784442050789,126,0.0500331709487496,0.00384760768176797,0.297643131993869,0.75
