id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
SRR7280802_rgi_card_k119_8096_5_#_5613_#_9206_#_-1_#_ID=3152_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.407	0	1	3594	1	100	100%
SRR7217507_rgi_card_k141_9419_1_#_1_#_3207_#_1_#_ID=4221_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.412	1	1	3207	1	100	100%
SRR4305327_rgi_card_k119_4158_2_#_779_#_3916_#_1_#_ID=872_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.611	2	1	3138	1	100	100%
SRR4305496_rgi_card_k119_7067_1_#_220_#_3333_#_1_#_ID=1727_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.548	3	1	3114	1	100	100%
SRR4408178_rgi_card_k119_4072_2_#_298_#_3411_#_-1_#_ID=1798_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546	4	3	3114	1	100	100%
SRR7217630_rgi_card_k141_17045_2_#_1078_#_4191_#_1_#_ID=4195_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547	4	3	3114	0	99.07%	100%
SRR9865813_rgi_card_k141_19300_2_#_1078_#_4191_#_1_#_ID=4803_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547	4	3	3114	0	99.07%	100%
SRR9865815_rgi_card_k141_13343_3_#_1131_#_4244_#_-1_#_ID=5032_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.542	5	1	3114	1	100	100%
SRR7217544_rgi_card_k141_3272_2_#_804_#_3677_#_1_#_ID=911_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598	6	1	2874	1	100	100%
SRR8942414_rgi_card_k119_1978_1_#_3_#_2780_#_-1_#_ID=646_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.539	7	1	2778	1	100	100%
SRR4305222_rgi_card_k119_2056_1_#_3_#_2594_#_-1_#_ID=481_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537	8	1	2592	1	100	100%
SRR4305054_rgi_card_k119_14215_2_#_750_#_3131_#_1_#_ID=4388_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.402	9	1	2382	1	100	100%
SRR7217512_rgi_card_k141_7647_1_#_1_#_2295_#_-1_#_ID=3543_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.402	10	1	2295	1	100	100%
SRR4305275_rgi_card_k119_6585_1_#_2_#_2254_#_-1_#_ID=1716_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533	11	1	2253	1	100	100%
SRR13622641_rgi_card_k141_610_2_#_188_#_2404_#_1_#_ID=217_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.551	12	1	2217	1	100	100%
SRR4305158_rgi_card_k119_3343_1_#_2_#_2203_#_1_#_ID=1130_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.550	13	2	2202	1	100	100%
SRR7217848_rgi_card_k141_4884_3_#_2053_#_4200_#_-1_#_ID=1578_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.547	13	2	2148	0	99.02%	97%
SRR4305031_rgi_card_k119_14370_1_#_1_#_2052_#_1_#_ID=2495_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.551	14	2	2052	1	100	100%
