id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
ERR4406821_rgi_card_k141_19965_2_#_657_#_4250_#_1_#_ID=7311_2;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=12bp;gc_cont=0.407	0	3	3594	1	100	100%
SRR9865488_rgi_card_k141_600_2_#_669_#_4076_#_1_#_ID=101_2;partial=01;start_type=ATG;rbs_motif=AAAA;rbs_spacer=12bp;gc_cont=0.408	0	3	3408	0	99.82%	94%
SRR7217583_rgi_card_k141_18563_2_#_354_#_3656_#_1_#_ID=6145_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.409	0	3	3303	0	99.55%	91%
SRR7217565_rgi_card_k141_26125_2_#_162_#_3755_#_1_#_ID=5228_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.408	1	1	3594	1	100	100%
ERR4407073_rgi_card_k141_2764_2_#_615_#_3818_#_-1_#_ID=1432_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.409	2	1	3204	1	100	100%
SRR13774460_rgi_card_k141_3927_3_#_1359_#_4511_#_-1_#_ID=1840_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612	3	1	3153	1	100	100%
SRR13774565_rgi_card_k141_3085_4_#_2392_#_5544_#_-1_#_ID=1259_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.611	4	3	3153	1	100	100%
SRR3131780_rgi_card_k141_413_5_#_3226_#_6378_#_1_#_ID=302_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.610	4	3	3153	0	99.11%	100%
SRR6257428_rgi_card_k119_1119_4_#_2058_#_5210_#_1_#_ID=446_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.611	4	3	3153	0	99.11%	100%
SRR1779149_rgi_card_k141_3546_2_#_206_#_3358_#_1_#_ID=1713_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607	5	4	3153	1	100	100%
SRR1779150_rgi_card_k141_1276_3_#_686_#_3838_#_-1_#_ID=591_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607	5	4	3153	0	99.94%	100%
SRR1779151_rgi_card_k141_1124_4_#_2491_#_5643_#_1_#_ID=493_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	5	4	3153	0	99.87%	100%
SRR1779152_rgi_card_k141_198_4_#_2491_#_5643_#_1_#_ID=65_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	5	4	3153	0	99.71%	100%
SRR13622629_rgi_card_k141_566_3_#_2176_#_5319_#_1_#_ID=305_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.647	6	1	3144	1	100	100%
ERR4406717_rgi_card_k141_1255_5_#_6994_#_10116_#_-1_#_ID=943_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.646	7	4	3123	1	100	100%
SRR13774664_rgi_card_k141_3519_2_#_814_#_3936_#_1_#_ID=988_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648	7	4	3123	0	99.07%	100%
SRR5963405_rgi_card_k141_24671_2_#_698_#_3820_#_1_#_ID=5928_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.647	7	4	3123	0	99.26%	100%
SRR9865501_rgi_card_k141_2499_2_#_1138_#_4260_#_-1_#_ID=652_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.648	7	4	3123	0	99.20%	100%
SRR3132347_rgi_card_k141_5040_2_#_753_#_3875_#_1_#_ID=2053_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.649	8	1	3123	1	100	100%
SRR7217751_rgi_card_k141_20818_2_#_332_#_3454_#_1_#_ID=6914_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614	9	1	3123	1	100	100%
SRR5963398_rgi_card_k141_600_1_#_1_#_3120_#_1_#_ID=252_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.613	10	1	3120	1	100	100%
ERR4406778_rgi_card_k141_8172_3_#_1303_#_4416_#_-1_#_ID=3382_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.543	11	1	3114	1	100	100%
S_ID036_T2_rgi_card_k141_6654_1_#_500_#_3613_#_-1_#_ID=2225_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545	12	1	3114	1	100	100%
SRR4305517_rgi_card_k119_4052_8_#_9706_#_12819_#_1_#_ID=1414_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544	13	5	3114	1	100	100%
SRR5405730_rgi_card_k141_291_2_#_531_#_3644_#_1_#_ID=147_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.542	13	5	3114	0	99.23%	100%
