id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
SRR13774460_k141_3927:1362-4511	0	1	3150	1	100	100%
SRR13774565_k141_3085:2395-5544	1	1	3150	1	100	100%
SRR17722810_k141_420:1843-4992	2	4	3150	1	100	100%
SRR17779856_k141_3107:740-3889	2	4	3150	0	99.24%	100%
SRR3131780_k141_413:3226-6375	2	4	3150	0	99.56%	100%
SRR6257428_k119_1119:2058-5207	2	4	3150	0	99.37%	100%
SRR1779149_k141_3546:206-3355	3	4	3150	1	100	100%
SRR1779150_k141_1276:689-3838	3	4	3150	0	99.94%	100%
SRR1779151_k141_1124:2491-5640	3	4	3150	0	99.87%	100%
SRR1779152_k141_198:2491-5640	3	4	3150	0	99.71%	100%
SRR5963398_k141_600:1-3117	4	1	3117	1	100	100%
ERR4407024_k141_9157:149-3220	5	188	3072	1	100	100%
S_ID039_T2_k141_3670:7028-10099	5	188	3072	0	99.87%	100%
S_ID054_T2_k141_2733:4179-7250	5	188	3072	0	99.87%	100%
S_ID056_T3_k141_1534:3633-6704	5	188	3072	0	99.87%	100%
S_ID062_T3_k141_2486:1260-4331	5	188	3072	0	99.97%	100%
S_ID063_T2_k141_7008:7028-10099	5	188	3072	0	99.87%	100%
SRR13622580_k141_7887:996-4067	5	188	3072	0	99.97%	100%
SRR13622631_k141_6834:1136-4207	5	188	3072	0	99.97%	100%
SRR13622753_k141_10048:916-3987	5	188	3072	0	99.93%	100%
SRR13622756_k141_833:1824-4895	5	188	3072	0	99.93%	100%
SRR13622851_k141_14186:916-3987	5	188	3072	0	99.97%	100%
SRR13622927_k141_4558:14652-17723	5	188	3072	0	99.97%	100%
SRR13622954_k141_2036:814-3885	5	188	3072	0	99.97%	100%
SRR13622957_k141_37441:872-3943	5	188	3072	0	99.97%	100%
SRR13774544_k141_5679:14651-17722	5	188	3072	0	99.97%	100%
SRR13774628_k141_175:409-3480	5	188	3072	0	99.97%	100%
SRR13774686_k141_1730:394-3465	5	188	3072	0	99.97%	100%
SRR13774705_k141_39:2056-5127	5	188	3072	0	99.97%	100%
SRR13774708_k141_2470:394-3465	5	188	3072	0	99.97%	100%
SRR17713586_k141_5022:2056-5127	5	188	3072	0	99.97%	100%
SRR17713591_k141_393:271-3342	5	188	3072	0	99.97%	100%
SRR17713592_k141_1104:271-3342	5	188	3072	0	99.97%	100%
SRR17713605_k141_2332:1288-4359	5	188	3072	0	99.97%	100%
SRR17713609_k141_412:400-3471	5	188	3072	0	99.93%	100%
SRR17713653_k141_322:2056-5127	5	188	3072	0	99.97%	100%
SRR17713664_k141_126:2706-5777	5	188	3072	0	99.97%	100%
SRR17713665_k141_3659:3066-6137	5	188	3072	0	99.97%	100%
SRR17713676_k141_5232:737-3808	5	188	3072	0	99.97%	100%
SRR17713677_k141_176:2442-5513	5	188	3072	0	99.97%	100%
SRR17722025_k141_499:11593-14664	5	188	3072	0	99.97%	100%
SRR17722097_k141_468:10007-13078	5	188	3072	0	99.97%	100%
SRR17722115_k141_116:2716-5787	5	188	3072	0	99.97%	100%
SRR17722181_k141_178:298-3369	5	188	3072	0	99.93%	100%
SRR17722192_k141_2850:158-3229	5	188	3072	0	99.97%	100%
SRR17722193_k141_4441:284-3355	5	188	3072	0	99.93%	100%
SRR17722200_k141_883:1916-4987	5	188	3072	0	99.97%	100%
SRR17722226_k141_506:876-3947	5	188	3072	0	99.97%	100%
SRR17722231_k141_2108:6-3077	5	188	3072	0	99.93%	100%
SRR17722259_k141_569:298-3369	5	188	3072	0	99.93%	100%
SRR17722260_k141_866:2517-5588	5	188	3072	0	99.93%	100%
SRR17722281_k141_126:737-3808	5	188	3072	0	99.97%	100%
SRR17722303_k141_49:822-3893	5	188	3072	0	99.97%	100%
SRR17722395_k141_744:2502-5573	5	188	3072	0	99.97%	100%
