contig	length	reference	order	evidence	score	amb_region
S_ID002_T1_k141_3	4057	NZ_CP063877.1	Enterobacterales	Transformer	0.9997281432151794	0-146,3899-4056
S_ID002_T1_k141_47	10608	CP071168.1	Enterobacterales	Transformer	0.999777376651764	2620-3019
S_ID002_T1_k141_69	6596	CP071168.1	Enterobacterales	Transformer	0.9997531771659852	0-3300,3311-4386,6148-6595
S_ID002_T1_k141_93	3645	CP071169.1	Enterobacterales	Transformer	0.999761164188385	7-144,3594-3604,3609-3729
S_ID002_T1_k141_106	29918	CP071168.1	Enterobacterales	Transformer	0.9998051524162292	0-149,258-1196,29671-29917
S_ID002_T1_k141_158	207569	NZ_CP063488.1	Enterobacterales	Transformer	0.8715426921844482	148416-156564
S_ID002_T1_k141_159	3518	CP071168.1	Enterobacterales	Transformer	0.9996691942214966	
S_ID002_T1_k141_162	3805	NZ_CP072963.1	Enterobacterales	Transformer	0.9980212450027466	0-3804
S_ID002_T1_k141_180	5111	NZ_CP063877.1	Enterobacterales	Transformer	0.9995972514152528	0-158,3477-4718,4966-5110
S_ID002_T1_k141_282	1903	NZ_CP068446.1	Enterobacterales	Transformer	0.027992445975542	0-1902
S_ID002_T1_k141_306	7217	NZ_CP022441.1	Enterobacterales	Transformer	0.9986975193023682	
S_ID002_T1_k141_363	1037	NZ_LN868946.1	Enterobacterales	Transformer	0.0018742069369181	0-1036
S_ID002_T1_k141_400	136901	CP052389.1	Enterobacterales	Transformer	0.9045333862304688	72509-136890
S_ID002_T1_k141_415	1022	NZ_MH909329.1	Enterobacterales	Transformer	0.9977251887321472	0-454
S_ID002_T1_k141_469	15432	NZ_CP051492.1	Enterobacterales	Transformer	0.9998568296432496	5558-6097
S_ID002_T1_k141_532	145873	NZ_CP079608.1	Enterobacterales	Transformer	0.9937671422958374	74517-94889,95262-96061,96286-130846,130888-145784
S_ID002_T1_k141_638	8835	CP071170.1	Enterobacterales	Transformer	0.999664068222046	0-146,2746-3379,3492-3681,8317-8320,8326-8814,8819-8839
S_ID002_T1_k141_639	1830	NZ_CP075882.1	Enterobacterales	Transformer	0.9995167255401612	0-285,417-1217,1688-1829
S_ID002_T1_k141_662	24926	NZ_CP075882.1	Enterobacterales	Transformer	0.9994851350784302	0-150,1832-24636,24754-24925
S_ID002_T1_k141_690	13248	NZ_CP071064.1	Enterobacterales	Transformer	0.948525846004486	6952-7182,8004-11483
S_ID002_T1_k141_740	120797	CP052389.1	Enterobacterales	Transformer	0.8033692836761475	35152-66813,66963-73552
S_ID002_T1_k141_930	2819	NZ_CP063877.1	Enterobacterales	Transformer	0.9998277425765992	0-2677
S_ID002_T1_k141_954	5754	NZ_CP079144.1	Enterobacterales	Transformer	0.957800567150116	
S_ID002_T1_k141_962	26340	NZ_MK433207.1	Enterobacterales	Transformer	0.2111114710569381	0-25785
S_ID002_T1_k141_1008	118861	NZ_CP074582.1	Enterobacterales	Transformer	0.973907470703125	92652-105295,105576-106013,106076-118712
S_ID002_T1_k141_1016	12915	CP071170.1	Enterobacterales	Transformer	0.9989885687828064	0-144,1701-5086,5395-7021,9137-12914
S_ID002_T1_k141_1024	3444	NZ_CP071396.1	Enterobacterales	Transformer	0.9994770884513856	0-146,3299-3443
S_ID002_T1_k141_1084	7009	NZ_CP075882.1	Enterobacterales	Transformer	0.9989901185035706	0-197,6854-7008
S_ID002_T1_k141_1089	16838	CP071170.1	Enterobacterales	Transformer	0.9996896982192992	0-144,589-1216,1591-15067,16431-16837
S_ID002_T1_k141_1124	140976	NZ_CP032166.1	Enterobacterales	Transformer	0.6263459920883179	111703-120250
S_ID002_T1_k141_1333	11384	NZ_MN823996.1	Enterobacterales	Transformer	0.999805986881256	
S_ID002_T1_k141_1429	12148	CP071170.1	Enterobacterales	Transformer	0.9997695088386536	0-2198,2292-2791,3673-7048,8180-9847,12012-12159
S_ID002_T1_k141_1604	7596	NZ_CP075882.1	Enterobacterales	Transformer	0.9997636675834656	5968-6284,7093-7594
S_ID002_T1_k141_1657	55713	NZ_CP079166.1	Enterobacterales	Transformer	0.9841814041137696	9486-55580
S_ID002_T1_k141_1716	1708	NZ_CP077783.1	Enterobacterales	Transformer	0.9963185787200928	140-1707
S_ID002_T1_k141_1763	21500	CP071170.1	Enterobacterales	Transformer	0.999795377254486	197-19964
S_ID002_T1_k141_1832	1203	NZ_CP075882.1	Enterobacterales	Transformer	0.9686412811279296	0-1202
S_ID002_T1_k141_2017	34318	NZ_KY435936.1	Enterobacterales	Transformer	0.9998722076416016	5188-5342
S_ID002_T1_k141_2019	2372	NZ_CP075882.1	Enterobacterales	Transformer	0.9994309544563292	0-2100
S_ID002_T1_k141_2095	6397	CP071168.1	Enterobacterales	Transformer	0.9997673630714417	1841-2170,3256-3762,6256-6396
S_ID002_T1_k141_2106	2342	NZ_CP075882.1	Enterobacterales	Transformer	0.9992424249649048	306-641,2108-2110,2117-2439
S_ID002_T1_k141_2115	1317	NZ_CP068911.1	Enterobacterales	Transformer	0.9996756315231324	57-1249
S_ID002_T1_k141_2151	1240	CP071170.1	Enterobacterales	Transformer	0.99564528465271	0-257
S_ID002_T1_k141_2186	9588	NZ_CP063877.1	Enterobacterales	Transformer	0.9996426105499268	0-435,560-2862,3229-8994,9444-9587
S_ID002_T1_k141_2196	10143	CP071168.1	Enterobacterales	Transformer	0.9995133876800536	0-143
S_ID002_T1_k141_2198	2940	NZ_CP075882.1	Enterobacterales	Transformer	0.9968329071998596	2651-2798
S_ID002_T1_k141_416	1536	NZ_MK433207.1	Enterobacterales	BLASTn	nan	0-1535
S_ID002_T1_k141_630	1208	NZ_AP022413.1	Enterobacterales	BLASTn	nan	0-1207
S_ID002_T1_k141_663	1435	NZ_CP075882.1	Enterobacterales	BLASTn	nan	0-1274,1289-1434
S_ID002_T1_k141_679	1374	NZ_CP027047.1	Enterobacterales	BLASTn	nan	0-1373
S_ID002_T1_k141_896	1139	NZ_CP071396.1	Enterobacterales	BLASTn	nan	0-1138
S_ID002_T1_k141_912	1239	NZ_MK433207.1	Enterobacterales	BLASTn	nan	0-1238
S_ID002_T1_k141_1960	1333	NZ_MK433207.1	Enterobacterales	BLASTn	nan	0-1332
S_ID002_T1_k141_17	1284	NZ_OU016038.1	Lactobacillales	Transformer	0.9808571338653564	0-1283
S_ID002_T1_k141_24	10359	NZ_CP066569.1	Lactobacillales	Transformer	0.9996121525764464	
S_ID002_T1_k141_29	1479	NZ_LR135234.1	Lactobacillales	Transformer	0.9981870055198668	
S_ID002_T1_k141_52	4568	NZ_CP042838.1	Lactobacillales	Transformer	0.8352580070495605	0-1256
S_ID002_T1_k141_75	6713	NZ_LR135236.1	Lactobacillales	Transformer	0.9997642636299132	6569-6712
S_ID002_T1_k141_79	8694	NZ_CP046076.1	Lactobacillales	Transformer	0.999931812286377	301-451
S_ID002_T1_k141_111	1018	NZ_CP054154.1	Lactobacillales	Transformer	0.8656643033027649	48-1020
S_ID002_T1_k141_121	2239	NZ_CP046076.1	Lactobacillales	Transformer	0.9984570741653442	497-1097,1609-2103
S_ID002_T1_k141_128	17612	NZ_CP072580.1	Lactobacillales	Transformer	0.9999569654464722	0-229,10668-11726,17461-17611
S_ID002_T1_k141_131	5132	NZ_CP046167.1	Lactobacillales	Transformer	0.9844750165939332	0-152
S_ID002_T1_k141_132	1876	NZ_LR135429.1	Lactobacillales	Transformer	0.9992724061012268	0-1030
S_ID002_T1_k141_135	2610	NZ_CP032307.1	Lactobacillales	Transformer	0.5756354331970215	0-868
S_ID002_T1_k141_136	7880	NZ_CP059797.1	Lactobacillales	Transformer	0.4104546904563904	0-7879
S_ID002_T1_k141_138	12324	NZ_CP040876.1	Lactobacillales	Transformer	0.9999377727508544	
S_ID002_T1_k141_178	13493	NZ_CP064426.1	Lactobacillales	Transformer	0.9999674558639526	3061-3784
S_ID002_T1_k141_184	5371	NZ_LR135175.1	Lactobacillales	Transformer	0.9999560117721558	
S_ID002_T1_k141_189	4122	NZ_CP064426.1	Lactobacillales	Transformer	0.9998701810836792	0-235
S_ID002_T1_k141_204	3407	CP019972.1	Lactobacillales	Transformer	0.3796359002590179	0-3397
S_ID002_T1_k141_233	7865	CP019972.1	Lactobacillales	Transformer	0.1240259781479835	0-7864
S_ID002_T1_k141_247	1466	NZ_CP071959.1	Lactobacillales	Transformer	0.9004177451133728	0-1465
S_ID002_T1_k141_280	1530	NZ_OU015947.1	Lactobacillales	Transformer	0.9997405409812928	0-140,1389-1529
S_ID002_T1_k141_287	1844	NZ_LR135221.1	Lactobacillales	Transformer	0.9986627101898192	671-676,1695-1698,1703-1790,1794-1982
S_ID002_T1_k141_309	3079	NZ_MT022086.1	Lactobacillales	Transformer	0.5935152769088745	0-400
S_ID002_T1_k141_310	1053	NZ_OU015948.1	Lactobacillales	Transformer	0.3301751017570495	0-1052
S_ID002_T1_k141_321	15346	CP012385.1	Lactobacillales	Transformer	0.9996498823165894	
S_ID002_T1_k141_325	3676	NZ_CP065755.1	Lactobacillales	Transformer	0.9997194409370422	
S_ID002_T1_k141_336	14089	NZ_LR135294.1	Lactobacillales	Transformer	0.9996780157089232	0-1669
S_ID002_T1_k141_338	6347	NZ_CP059797.1	Lactobacillales	Transformer	0.143156886100769	0-6346
S_ID002_T1_k141_349	1046	NZ_CP046076.1	Lactobacillales	Transformer	0.9997804760932922	905-1045
S_ID002_T1_k141_351	2429	NZ_CP014534.1	Lactobacillales	Transformer	0.9995829463005066	0-1664
S_ID002_T1_k141_356	1793	NZ_OU015947.1	Lactobacillales	Transformer	0.3455624878406524	0-1792
S_ID002_T1_k141_389	8611	NZ_CP027515.1	Lactobacillales	Transformer	0.9999194145202636	794-1211
S_ID002_T1_k141_408	3180	NZ_CP071959.1	Lactobacillales	Transformer	0.9994763731956482	2792-3179
S_ID002_T1_k141_414	5351	NZ_LR135374.1	Lactobacillales	Transformer	0.999647855758667	
S_ID002_T1_k141_417	1503	NZ_CP014530.1	Lactobacillales	Transformer	0.8955093026161194	0-1512
S_ID002_T1_k141_421	2075	NZ_CP072587.1	Lactobacillales	Transformer	0.9651896357536316	0-2074
S_ID002_T1_k141_423	1421	NZ_CP071959.1	Lactobacillales	Transformer	0.9999167919158936	0-2
S_ID002_T1_k141_432	3195	NZ_CP040876.1	Lactobacillales	Transformer	0.9999175071716307	1635-3054
S_ID002_T1_k141_446	2948	NZ_CP066569.1	Lactobacillales	Transformer	0.9900305271148682	228-1282
