id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
SRR13622726_k141_6932:3480-5435	0	18	1956	1	100	100%
SRR13622738_k141_6869:1567-3522	0	18	1956	0	99.95%	100%
SRR13622744_k141_15914:16392-18347	0	18	1956	0	99.95%	100%
SRR13622745_k141_10453:39579-41534	0	18	1956	0	99.95%	100%
SRR13622766_k141_11605:1273-3228	0	18	1956	0	99.95%	100%
SRR25947196_k141_10768:293-2248	0	18	1956	0	99.95%	100%
SRR25947335_k141_256:1567-3522	0	18	1956	0	99.95%	100%
SRR25947434_k141_20564:1949-3904	0	18	1956	0	99.95%	100%
SRR25947435_k141_20296:51924-53879	0	18	1956	0	99.95%	100%
SRR25947437_k141_7397:7761-9716	0	18	1956	0	99.95%	100%
SRR25947447_k141_27662:38848-40803	0	18	1956	0	99.90%	100%
SRR25947450_k141_16708:38848-40803	0	18	1956	0	99.90%	100%
SRR25947456_k141_9458:38848-40803	0	18	1956	0	99.90%	100%
SRR25947458_k141_19035:38848-40803	0	18	1956	0	99.90%	100%
SRR7217803_k141_1012:7874-9829	0	18	1956	0	99.95%	100%
SRR7280826_k119_6058:59246-61201	0	18	1956	0	100.00%	100%
SRR7281011_k119_2581:3426-5381	0	18	1956	0	99.95%	100%
SRR9865418_k141_10698:7874-9829	0	18	1956	0	99.95%	100%
SRR4305398_k119_6082:1173-3095	1	1	1923	1	100	100%
SRR25947432_k141_498:89-2005	2	2	1917	1	100	100%
SRR7217666_k141_6685:1055-2971	2	2	1917	0	99.43%	100%
SRR4305032_k119_1081:19968-21884	3	4	1917	1	100	100%
SRR4305474_k119_20571:1926-3842	3	4	1917	0	100.00%	100%
SRR4408039_k119_9142:68567-70483	3	4	1917	0	99.95%	100%
SRR7217918_k141_15593:1050-2966	3	4	1917	0	100.00%	100%
SRR4408263_k119_16816:3-1892	4	1	1890	1	100	100%
SRR13622811_k141_1277:884-2638	5	1	1755	1	100	100%
SRR4305075_k119_21959:11695-13449	6	1	1755	1	100	100%
SRR25947158_k141_843:9-1574	7	2	1566	1	100	100%
SRR25947295_k141_6831:2786-4351	7	2	1566	0	99.17%	100%
SRR25947335_k141_7560:1209-2774	8	1	1566	1	100	100%
SRR13622811_k141_1417:2533-3996	9	11	1464	1	100	100%
SRR1779153_k141_775:2533-3996	9	11	1464	0	99.93%	100%
SRR1779154_k141_2946:2533-3996	9	11	1464	0	99.93%	100%
SRR25947335_k141_2711:1048-2511	9	11	1464	0	99.93%	100%
SRR5575364_k141_4566:2296-3759	9	11	1464	0	99.93%	100%
SRR5575365_k141_1228:2533-3996	9	11	1464	0	99.93%	100%
SRR5575421_k141_536:2393-3856	9	11	1464	0	99.93%	100%
SRR7217525_k141_95:846-2309	9	11	1464	0	99.93%	100%
SRR7280833_k119_6801:516-1979	9	11	1464	0	99.93%	100%
SRR7281003_k119_1673:79-1542	9	11	1464	0	99.93%	100%
SRR7716249_k141_12114:794-2257	9	11	1464	0	99.93%	100%
SRR13622711_k141_6377:14382-15836	10	3	1455	1	100	100%
SRR25947475_k141_30928:34223-35677	10	3	1455	0	100.00%	100%
SRR25947479_k141_2333:34183-35637	10	3	1455	0	100.00%	100%
SRR25947413_k141_39026:604-2040	11	1	1437	1	100	100%
SRR1779153_k141_3174:691-2067	12	5	1377	1	100	100%
SRR1779154_k141_3302:690-2066	12	5	1377	0	100.00%	100%
SRR25947335_k141_5880:48-1424	12	5	1377	0	100.00%	100%
SRR7716237_k141_10909:2268-3644	12	5	1377	0	100.00%	100%
SRR25947509_k141_6961:3320-4579	12	5	1260	0	100.00%	91%
SRR4305348_k119_6103:2729-4102	13	1	1374	1	100	100%
SRR13622726_k141_6932:2234-3493	14	17	1260	1	100	100%
SRR13622738_k141_6869:321-1580	14	17	1260	0	100.00%	100%
SRR13622744_k141_15914:15146-16405	14	17	1260	0	100.00%	100%
SRR13622745_k141_10453:38333-39592	14	17	1260	0	100.00%	100%
SRR13622766_k141_11605:27-1286	14	17	1260	0	100.00%	100%
SRR25947335_k141_256:321-1580	14	17	1260	0	100.00%	100%
SRR25947434_k141_20564:703-1962	14	17	1260	0	100.00%	100%
SRR25947435_k141_20296:53866-55125	14	17	1260	0	100.00%	100%
SRR25947437_k141_7397:6515-7774	14	17	1260	0	100.00%	100%
SRR25947447_k141_27662:37602-38861	14	17	1260	0	100.00%	100%
SRR25947450_k141_16708:37602-38861	14	17	1260	0	100.00%	100%
SRR25947456_k141_9458:37602-38861	14	17	1260	0	100.00%	100%
SRR25947458_k141_19035:37602-38861	14	17	1260	0	100.00%	100%
SRR7217803_k141_1012:9816-11075	14	17	1260	0	100.00%	100%
SRR7280826_k119_6058:58000-59259	14	17	1260	0	100.00%	100%
SRR7281011_k119_2581:2180-3439	14	17	1260	0	100.00%	100%
SRR9865418_k141_10698:9816-11075	14	17	1260	0	100.00%	100%
SRR7217540_k141_1397:27958-29181	15	1	1224	1	100	100%
SRR13622640_k141_3205:15899-17116	16	1	1218	1	100	100%
SRR13622711_k141_6377:13044-14258	17	3	1215	1	100	100%
SRR25947475_k141_30928:35801-37015	17	3	1215	0	100.00%	100%
SRR25947479_k141_2333:35761-36975	17	3	1215	0	100.00%	100%
SRR8942422_k119_777:927-2129	18	1	1203	1	100	100%
SRR25947560_k141_10558:1045-2241	19	6	1197	1	100	100%
SRR4408073_k119_8980:6712-7908	19	6	1197	0	100.00%	100%
SRR4408261_k119_4819:1571-2767	19	6	1197	0	99.92%	100%
SRR7716241_k141_4090:4192-5388	19	6	1197	0	100.00%	100%
SRR8942402_k119_8667:1174-2370	19	6	1197	0	100.00%	100%
SRR8942410_k119_17470:1173-2369	19	6	1197	0	100.00%	100%
SRR8942392_k119_31487:12013-13200	20	1	1188	1	100	100%
SRR4305442_k119_129:707-1870	21	3	1164	1	100	100%
SRR7217540_k141_1397:6331-7494	21	3	1164	0	99.91%	100%
SRR9865414_k141_28477:14439-15602	21	3	1164	0	100.00%	100%
SRR13622764_k141_836:6016-7158	22	7	1143	1	100	100%
SRR25947198_k141_36142:5923-7065	22	7	1143	0	100.00%	100%
SRR25947199_k141_14081:12456-13598	22	7	1143	0	100.00%	100%
SRR7217625_k141_9866:419-1561	22	7	1143	0	100.00%	100%
SRR7217627_k141_19502:20881-22023	22	7	1143	0	100.00%	100%
SRR7217634_k141_9128:1853-2995	22	7	1143	0	100.00%	100%
SRR9865690_k141_8540:1853-2995	22	7	1143	0	100.00%	100%
SRR13622638_k141_7717:11730-12830	23	1	1101	1	100	100%
SRR25947196_k141_10768:69058-70152	24	1	1095	1	100	100%
SRR25947216_k141_109747:3474-4388	25	1	915	1	100	100%
SRR8942416_k119_4850:2358-3266	26	1	909	1	100	100%
SRR13622782_k141_22434:6444-7349	27	4	906	1	100	100%
SRR4305172_k119_7437:8425-9330	27	4	906	0	100.00%	100%
SRR4305190_k119_10076:570-1475	27	4	906	0	100.00%	100%
SRR5575421_k141_1035:253-1158	27	4	906	0	100.00%	100%
SRR4305385_k119_1039:2052-2957	28	1	906	1	100	100%
SRR25947560_k141_15271:10076-10978	29	3	903	1	100	100%
SRR4305488_k119_577:186-1088	29	3	903	0	100.00%	100%
SRR7716241_k141_4755:9135-10037	29	3	903	0	100.00%	100%
SRR13622730_k141_4620:258-1154	30	12	897	1	100	100%
SRR13622811_k141_1417:1535-2431	30	12	897	0	100.00%	100%
SRR1779153_k141_775:1535-2431	30	12	897	0	100.00%	100%
SRR1779154_k141_2946:1535-2431	30	12	897	0	100.00%	100%
SRR25947335_k141_2711:2613-3509	30	12	897	0	100.00%	100%
